T[K],P[bar],rho[kg/m3]
100,1,438.9
111.51,1,422.6
111.51,1,1.795
140,1,1.403
180,1,1.081
200,1,0.9708
220,1,0.8812
240,1,0.8069
260,1,0.7442
280,1,0.6906
300,1,0.6442
320,1,0.6038
340,1,0.5681
360,1,0.5364
400,1,0.4826
500,1,0.3859
600,1,0.3215
700,1,0.2756
800,1,0.2411
900,1,0.2143
1000,1,0.1929
100,10,439.6
149.14,10,359.6
149.14,10,15.7
160,10,13.97
180,10,11.81
200,10,10.33
220,10,9.217
240,10,8.344
260,10,7.634
280,10,7.043
300,10,6.541
320,10,6.11
340,10,5.733
360,10,5.402
400,10,4.845
500,10,3.859
600,10,3.21
100,50,442.5
200,50,87.76
250,50,50
300,50,34.97
350,50,28
400,50,24.6
500,50,19.27
600,50,15.93
100,100,446
200,100,266.2
240,100,128.4
260,100,101
280,100,85.51
300,100,75.17
320,100,67.61
340,100,61.75
360,100,57.01
400,100,49.73
500,100,38.32
600,100,31.47
200,1000,409
300,1000,341.1
400,1000,286.8
500,1000,245.5
600,1000,214.3